id,name,category,price,maker,recommended_people,review_number,score,file_name,description,stock_status
12,和風手描き陶器マグカップ『季節の彩り』,食器,"1,980円",陶工房彩,温かみのあるデザインを好む方、四季を感じられる器を探している方に。,192,4.5,ceramic_mug.jpg,和風手描き陶器マグカップ『季節の彩り』は、四季折々の風景をイメージした手描きの...,あり
13,USB充電式LEDデスクライト『スマートライト』,家電,"4,280円",ライティングイノベーション,読書やデスクワークに集中したい方、目に優しい光を求める方に。,324,4.7,led_desk_light.jpg,USB充電式LEDデスクライト『スマートライト』は、省エネ設計と目に優しい光が特徴です...,あり
14,抗菌加工エコバッグ『クリーンショッパー』,バッグ・小物,"1,480円",エコスタイルジャパン,環境に優しい商品を選びたい方、衛生面を重視する方に。,278,4.4,eco_bag.jpg,抗菌加工エコバッグ『クリーンショッパー』は、環境に配慮したエコバッグです。コンパクトに...,あり
15,プレミアム洗顔ブラシ『スキンケアブラシ』,美容・健康,"3,980円",ビューティーエッセンシャル,"肌の奥深くまで汚れを落とすと効果的な洗顔ブラシです。やわらかなブラシ素材が肌に優しく...""",142,4.6,facial_brush.jpg,プレミアム洗顔ブラシ『スキンケアブラシ』は、肌の奥深くまで汚れを落とす効果的な洗顔ブラシ...,なし
16,折りたたみ式防風傘『ウィンドシールド』,日用品,"2,980円",プロテクトギアジャパン,強風や雨の多い地域で丈夫な傘を探している方、持ち運びやすさを重視する方に。,184,4.6,wind_shield_umbrella.jpg,折りたたみ式防風傘『ウィンドシールド』は、強風にも耐える頑丈な設計が特徴です。軽量で...,あり
17,高性能キッチンスケール『プライムメジャー』,キッチン用品,"3,480円",キッチンプロダクツジャパン,料理やお菓子作りで正確な計量を求める方、シンプルで使いやすいデザインを好む方に。,142,4.7,kitchen_scale.jpg,高性能キッチンスケール『プライムメジャー』は、0.1g単位の正確な計量が可能なスケール...,あり
18,軽量ランニングシューズ『フライングステップ』,スポーツ用品,"6,980円",アスレチックデザイン,ランニングを始めたい方や軽量で快適な履き心地を求める方、日常使いも考えている方に。,298,4.5,running_shoes.jpg,軽量ランニングシューズ『フライングステップ』は、足にフィットするデザインと通気性の良さが...,残りわずか
19,プレミアム和風懐紙『華やぎ』,文房具,"1,280円",和紙デザインスタジオ,茶道や和文化に興味がある方、美しいデザインの文具を求める方に。,87,4.8,premium_kaishi.jpg,プレミアム和風懐紙『華やぎ』は、美しい日本の伝統デザインを施した高品質な懐紙です。,あり
20,折りたたみ式コンパクトテーブル『リビングエース』,家具,"5,980円",ホームデザインジャパン,狭いスペースを有効活用したい方や、軽量で移動可能なテーブルを探している方に。,201,4.5,compact_table_livingace.jpg,折りたたみ式コンパクトテーブル『リビングエース』は、軽量で機能的なデザインが特徴です。,あり
21,高性能ビジネスバッグ『プロワーク』,バッグ・小物,"12,800円",キャリアスタイル,ビジネスシーンで使える機能的かつスタイリッシュなバッグを求める方に。,289,4.7,business_bag_prowork.jpg,高性能ビジネスバッグ『プロワーク』は、収納力と耐久性を備えたスタイリッシュなバッグです。,なし
22,プレミアムフレグランスキャンドル『アロマルーム』,ホーム・インテリア,"3,480円",リラクゼーションスタイル,癒しの時間を楽しみたい方や、インテリアとして香りを楽しみたい方に。,167,4.6,aroma_room_candle.jpg,プレミアムフレグランスキャンドル『アロマルーム』は、上質な香りと洗練されたデザインが...,あり
23,耐久性抜群ランニングシューズ『スピードライト』,スポーツ用品,"8,480円",アクティブギア,ランニングやウォーキングを日常に取り入れたい方や、快適な履き心地を重視する方に。,342,4.8,speedlight_running_shoes.jpg,耐久性抜群ランニングシューズ『スピードライト』は、軽量で快適な履き心地を提供します。,残りわずか
24,USB充電式卓上加湿器『モイストミニ』,家電,"2,980円",エアウェーブテクノロジー,デスク周りの乾燥が気になる方や、コンパクトで使いやすい加湿器を探している方に。,198,4.5,usb_mini_humidifier.jpg,USB充電式卓上加湿器『モイストミニ』は、軽量で持ち運びやすい設計が特徴です。,あり
25,多機能折りたたみナイフ『アウトドアギア』,アウトドア用品,"4,480円",アドベンチャーツールズ,キャンプや登山で活用できる多機能ツールを探している方に。,176,4.7,foldable_knife_outdoorgear.jpg,多機能折りたたみナイフ『アウトドアギア』は、さまざまなアウトドアシーンで活躍する...,あり
26,プレミアムコットンブランケット『ソフトタッチ』,寝具,"6,980円",リラックスホーム,肌触りの良いブランケットを探している方や、寝具にこだわる方に。,243,4.8,premium_cotton_blanket.jpg,プレミアムコットンブランケット『ソフトタッチ』は、肌触りの良さと優れた保温性が特徴です。,あり
27,ワイヤレスイヤホン『クリアサウンド』,オーディオ機器,"8,980円",サウンドテックジャパン,高音質で快適なワイヤレス体験を求める方や、長時間使用を考えている方に。,289,4.6,wireless_earbuds_clearsound.jpg,ワイヤレスイヤホン『クリアサウンド』は、クリアな音質と快適な装着感が特徴です。,あり
28,折りたたみ式ポータブルバーベキューグリル『アウトドアシアター』,アウトドア用品,"9,980円",クックギアジャパン,キャンプやピクニックで手軽にバーベキューを楽しみたい方に。,198,4.5,portable_bbq_grill.jpg,折りたたみ式ポータブルバーベキューグリル『アウトドアシアター』は、軽量で持ち運びやすい...,あり
29,プレミアム手作り陶器マグ『和の彩り』,食器,"2,480円",クラフトセラミックス,日常の食卓に伝統工芸の興味がある方や、特別な食器を求める方に。,134,4.7,handmade_ceramic_mug.jpg,プレミアム手作り陶器マグ『和の彩り』は、職人が一つ一つ丁寧に作り上げた日本の伝統工芸品です。,あり
30,ポータブルエスプレッソメーカー『カフェトラベル』,家電,"6,480円",コーヒークラフト,旅行やアウトドアでも本格的なエスプレッソを楽しみたい方に。,254,4.7,portable_espresso_maker.jpg,ポータブルエスプレッソメーカー『カフェトラベル』は、手軽に本格的なエスプレッソを...,あり
31,高性能スリープマスク『ナイトリラックス』,美容・健康,"3,280円",リラクゼーションラボ,良質な睡眠を求める方や、旅行中でも快適に眠りたい方に。,178,4.6,high_performance_sleep_mask.jpg,高性能スリープマスク『ナイトリラックス』は、柔らかな素材と優れたフィット感が特徴です。,残りわずか
32,多機能スマートウォッチ『ライフトラッカー』,電子機器,"12,980円",テックバイツ,日常の健康管理やフィットネスをサポートするスマートウォッチを求める方に。,342,4.8,multifunction_smart_watch.jpg,多機能スマートウォッチ『ライフトラッカー』は、健康管理と通知機能を兼ね備えた...,あり
33,プレミアム和風風鈴『夏の音』,インテリア,"2,480円",和音デザイン,日本の夏を感じるアイテムを探している方や、インテリアを和風にしたい方に。,89,4.5,premium_wind_chime.jpg,プレミアム和風風鈴『夏の音』は、日本の伝統工芸を活かした美しい音色が魅力のアイテムです。,あり
